time_bin_start,time_bin_end,behavior,count_records,duration_event_sec,percent_within_interval_records,time_bin
0.0,30.0,exploratory,2,0.6666666666666666,0.83,0-30 sec
0.0,30.0,inactive,238,79.33333333333333,98.35,0-30 sec
0.0,30.0,social_contact,2,0.6666666666666666,0.83,0-30 sec
30.0,60.0,exploratory,2,0.6666666666666666,0.85,30-60 sec
30.0,60.0,inactive,234,78.0,99.15,30-60 sec
60.0,90.0,exploratory,7,2.3333333333333335,2.52,60-90 sec
60.0,90.0,inactive,269,89.66666666666667,96.76,60-90 sec
60.0,90.0,social_contact,2,0.6666666666666666,0.72,60-90 sec
90.0,120.0,active_movement,1,0.3333333333333333,0.48,90-120 sec
90.0,120.0,exploratory,2,0.6666666666666666,0.96,90-120 sec
90.0,120.0,inactive,191,63.666666666666664,91.39,90-120 sec
90.0,120.0,out_of_view,1,0.3333333333333333,0.48,90-120 sec
90.0,120.0,social_contact,14,4.666666666666667,6.7,90-120 sec
120.0,150.0,exploratory,7,2.3333333333333335,3.4,120-150 sec
120.0,150.0,inactive,137,45.666666666666664,66.5,120-150 sec
120.0,150.0,social_contact,62,20.666666666666668,30.1,120-150 sec
150.0,180.0,active_movement,13,4.333333333333333,10.32,150-180 sec
150.0,180.0,exploratory,9,3.0,7.14,150-180 sec
150.0,180.0,inactive,35,11.666666666666666,27.78,150-180 sec
150.0,180.0,out_of_view,25,8.333333333333334,19.84,150-180 sec
150.0,180.0,social_contact,44,14.666666666666666,34.92,150-180 sec
180.0,210.0,active_movement,2,0.6666666666666666,2.11,180-210 sec
180.0,210.0,exploratory,3,1.0,3.16,180-210 sec
180.0,210.0,inactive,4,1.3333333333333333,4.21,180-210 sec
180.0,210.0,out_of_view,82,27.333333333333332,86.32,180-210 sec
180.0,210.0,social_contact,4,1.3333333333333333,4.21,180-210 sec
210.0,240.0,out_of_view,94,31.333333333333332,100.0,210-240 sec
240.0,270.0,active_movement,7,2.3333333333333335,6.36,240-270 sec
240.0,270.0,exploratory,2,0.6666666666666666,1.82,240-270 sec
240.0,270.0,inactive,8,2.6666666666666665,7.27,240-270 sec
240.0,270.0,out_of_view,62,20.666666666666668,56.36,240-270 sec
240.0,270.0,social_contact,31,10.333333333333334,28.18,240-270 sec
270.0,300.0,active_movement,8,2.6666666666666665,8.42,270-300 sec
270.0,300.0,exploratory,7,2.3333333333333335,7.37,270-300 sec
270.0,300.0,inactive,10,3.3333333333333335,10.53,270-300 sec
270.0,300.0,out_of_view,66,22.0,69.47,270-300 sec
270.0,300.0,social_contact,4,1.3333333333333333,4.21,270-300 sec
300.0,330.0,active_movement,14,4.666666666666667,14.0,300-330 sec
300.0,330.0,exploratory,2,0.6666666666666666,2.0,300-330 sec
300.0,330.0,inactive,40,13.333333333333334,40.0,300-330 sec
300.0,330.0,olfactory_interest,1,0.3333333333333333,1.0,300-330 sec
300.0,330.0,out_of_view,37,12.333333333333334,37.0,300-330 sec
300.0,330.0,social_contact,6,2.0,6.0,300-330 sec
330.0,360.0,exploratory,2,0.6666666666666666,1.74,330-360 sec
330.0,360.0,inactive,75,25.0,65.22,330-360 sec
330.0,360.0,social_contact,38,12.666666666666666,33.04,330-360 sec
360.0,390.0,active_movement,8,2.6666666666666665,7.92,360-390 sec
360.0,390.0,exploratory,7,2.3333333333333335,6.93,360-390 sec
360.0,390.0,inactive,60,20.0,59.41,360-390 sec
360.0,390.0,out_of_view,24,8.0,23.76,360-390 sec
360.0,390.0,social_contact,2,0.6666666666666666,1.98,360-390 sec
390.0,420.0,out_of_view,93,31.0,100.0,390-420 sec
420.0,450.0,active_movement,1,0.3333333333333333,0.94,420-450 sec
420.0,450.0,exploratory,10,3.3333333333333335,9.43,420-450 sec
420.0,450.0,inactive,66,22.0,62.26,420-450 sec
420.0,450.0,out_of_view,29,9.666666666666666,27.36,420-450 sec
450.0,480.0,active_movement,2,0.6666666666666666,1.48,450-480 sec
450.0,480.0,exploratory,8,2.6666666666666665,5.93,450-480 sec
450.0,480.0,inactive,66,22.0,48.89,450-480 sec
450.0,480.0,out_of_view,53,17.666666666666668,39.26,450-480 sec
450.0,480.0,social_contact,6,2.0,4.44,450-480 sec
480.0,510.0,inactive,139,46.333333333333336,59.66,480-510 sec
480.0,510.0,social_contact,94,31.333333333333332,40.34,480-510 sec
510.0,540.0,inactive,89,29.666666666666668,52.05,510-540 sec
510.0,540.0,social_contact,82,27.333333333333332,47.95,510-540 sec
