epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,273.546,3.13567,5.14478,1.80303,0.00199,0.512,0.00337,0.00093,2.43103,4.92252,1.37358,0.00052,0.00052,0.00052
2,540.626,2.42632,3.56546,1.39276,0.0014,0.36,0.00152,0.00047,2.47059,4.40497,1.47196,0.00103002,0.00103002,0.00103002
3,793.389,2.08951,2.96418,1.29169,0.0029,0.744,0.09181,0.04046,1.96226,3.81589,1.23313,0.00150949,0.00150949,0.00150949
4,1042.89,1.88094,2.55641,1.21855,0.44346,0.072,0.16235,0.08776,1.85607,3.24859,1.23189,0.00183029,0.00183029,0.00183029
5,1338.23,1.86492,2.5109,1.18899,0.32123,0.296,0.1712,0.10295,1.91421,2.98492,1.2474,0.00177371,0.00177371,0.00177371
6,1641.68,1.70789,2.31263,1.12672,0.42147,0.36136,0.29576,0.14744,1.9921,2.65363,1.15293,0.00171714,0.00171714,0.00171714
7,1932.61,1.59228,2.06334,1.1156,0.31715,0.336,0.25798,0.15161,1.67967,3.31961,1.10119,0.00166057,0.00166057,0.00166057
8,2223.58,1.53766,1.85123,1.0887,0.42338,0.42881,0.32611,0.18277,1.82416,2.29299,1.17448,0.001604,0.001604,0.001604
9,2541.26,1.52899,1.87976,1.07892,0.53573,0.464,0.46386,0.26384,1.51149,1.95664,1.07921,0.00154743,0.00154743,0.00154743
10,2753.13,1.50765,1.73156,1.08651,0.47161,0.4927,0.41295,0.23579,1.71317,1.99623,1.11665,0.00149086,0.00149086,0.00149086
11,2879.91,1.40933,1.64665,1.03385,0.52568,0.448,0.4261,0.2366,1.76196,1.89428,1.10893,0.00143429,0.00143429,0.00143429
12,2985.75,1.28639,1.57322,0.99408,0.52657,0.57838,0.51979,0.34467,1.47027,1.53933,1.05456,0.00137771,0.00137771,0.00137771
13,3087.27,1.41279,1.51708,1.04192,0.58547,0.52,0.51227,0.36135,1.41306,1.73194,1.02618,0.00132114,0.00132114,0.00132114
14,3184.68,1.29473,1.49771,1.0065,0.57324,0.48,0.51945,0.35094,1.30904,1.51038,1.02069,0.00126457,0.00126457,0.00126457
15,3278.44,1.18678,1.35893,0.97356,0.59075,0.56,0.59352,0.39025,1.45719,1.6722,1.05554,0.001208,0.001208,0.001208
16,3366.95,1.21529,1.3777,0.9717,0.51899,0.592,0.54955,0.39359,1.31783,1.37929,1.00876,0.00115143,0.00115143,0.00115143
17,3457.92,1.20371,1.31955,0.98412,0.58301,0.56,0.53156,0.36571,1.27626,1.49597,0.99688,0.00109486,0.00109486,0.00109486
18,3587.21,1.15774,1.25691,0.96982,0.6644,0.464,0.54318,0.3674,1.32344,1.46422,1.00567,0.00103829,0.00103829,0.00103829
19,3703.07,1.16959,1.28308,0.97598,0.58831,0.58304,0.57606,0.42321,1.24514,1.37715,0.98037,0.000981714,0.000981714,0.000981714
20,3814.97,1.08272,1.21722,0.97013,0.5829,0.416,0.42632,0.24455,1.3965,1.7257,1.02043,0.000925143,0.000925143,0.000925143
21,3916.3,1.00752,1.24469,0.93471,0.53035,0.56,0.53676,0.41772,1.17703,1.47367,0.94243,0.000868571,0.000868571,0.000868571
22,4013.23,1.13325,1.27736,0.94752,0.6179,0.504,0.54997,0.37243,1.31396,1.41807,1.01086,0.000812,0.000812,0.000812
23,4112.43,1.05493,1.22429,0.9308,0.54851,0.608,0.60243,0.44873,1.16079,1.25819,0.95965,0.000755429,0.000755429,0.000755429
24,4215.98,1.07648,1.24854,0.94522,0.61102,0.552,0.57383,0.4101,1.26158,1.27207,1.00108,0.000698857,0.000698857,0.000698857
25,4315.8,1.07454,1.1217,0.96005,0.62677,0.616,0.62074,0.43326,1.2736,1.2925,1.0039,0.000642286,0.000642286,0.000642286
26,4415.32,1.0326,1.13697,0.95941,0.6998,0.568,0.58608,0.42567,1.22587,1.34441,0.98267,0.000585714,0.000585714,0.000585714
27,4514.64,0.98149,1.08714,0.94196,0.53384,0.5497,0.56971,0.42248,1.21369,1.2799,0.97087,0.000529143,0.000529143,0.000529143
28,4624.24,0.96797,1.08578,0.92417,0.59909,0.592,0.59033,0.43661,1.16729,1.31165,0.94591,0.000472571,0.000472571,0.000472571
29,4798.82,0.94002,1.0364,0.94585,0.56448,0.63249,0.59979,0.45159,1.18125,1.25991,0.98001,0.000416,0.000416,0.000416
30,4936.46,0.94748,1.05998,0.91644,0.63045,0.616,0.61107,0.46302,1.15942,1.19317,0.96649,0.000359429,0.000359429,0.000359429
31,5073.32,0.91458,1.01141,0.92617,0.59786,0.58279,0.59965,0.44798,1.12409,1.15594,0.9433,0.000302857,0.000302857,0.000302857
32,5257.04,0.90494,0.9508,0.91797,0.60906,0.608,0.62488,0.47551,1.09775,1.12705,0.94908,0.000246286,0.000246286,0.000246286
33,5426.44,0.89138,0.9451,0.90212,0.65038,0.624,0.65558,0.47386,1.12713,1.09479,0.94588,0.000189714,0.000189714,0.000189714
34,5619.42,0.89157,0.94494,0.91796,0.72012,0.632,0.67204,0.50875,1.05892,1.0636,0.94561,0.000133143,0.000133143,0.000133143
35,5795.51,0.86714,0.91796,0.91664,0.74664,0.58941,0.67444,0.509,1.08088,1.07355,0.95678,7.65714e-05,7.65714e-05,7.65714e-05
